Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD1,SD1,-32.294274,115.661574
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD2,SD2,-32.292019,115.661607
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD3,SD3,-32.289765,115.66164
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD4,SD4,-32.28751,115.661673
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD5,SD5,-32.285255,115.661707
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD6,SD6,-32.285227,115.659052
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD7,SD7,-32.285199,115.656398
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD8,SD8,-32.28517,115.653744
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD9,SD9,-32.285142,115.651089
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD10,SD10,-32.287397,115.651056
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD11,SD11,-32.289652,115.651023
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD12,SD12,-32.291906,115.650989
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD13,SD13,-32.294161,115.650956
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD14,SD14,-32.294189,115.65361
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD15,SD15,-32.294218,115.656265
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD16,SD16,-32.294246,115.65892
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD17,SD17,-32.292513,115.678464
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD18,SD18,-32.282746,115.675229
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD19,SD19,-32.272979,115.671995
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD20,SD20,-32.263203,115.668761
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD21,SD21,-32.253436,115.665528
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD22,SD22,-32.25564,115.658171
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD23,SD23,-32.257844,115.650803
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD24,SD24,-32.260047,115.643446
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD25,SD25,-32.26225,115.636077
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD26,SD26,-32.271954,115.639287
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD27,SD27,-32.281649,115.642487
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD28,SD28,-32.291354,115.645698
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD29,SD29,-32.301049,115.6489
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD30,SD30,-32.298918,115.656291
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD31,SD31,-32.296786,115.663682
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SD32,SD32,-32.294645,115.671073
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDR1,SDR1,-32.32571,115.653133
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDR2,SDR2,-32.325784,115.655799
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDR3,SDR3,-32.325686,115.658446
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDR4,SDR4,-32.325877,115.66113
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDT-0,SDT-0,-32.289706,115.656323
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDT-100,SDT-100,-32.288927,115.655799
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDT-350,SDT-350,-32.286963,115.65446
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDT-1000,SDT-1000,-32.281803,115.651214
Water Corporation,WC,Sepia Depression Ocean Outlet Landline,SDOOL,WQ Grab,SDT-1500,SDT-1500,-32.277922,115.648501
