Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Bureau of Meteorology,BOM,Weather,IDY,MET General,9240,BICKLEY,-32.0072,116.1369
Bureau of Meteorology,BOM,Weather,IDY,MET General,9256,GARDEN ISLAND HSF,-32.2433,115.6839
Bureau of Meteorology,BOM,Weather,IDY,MET General,9178,GINGIN AERO,-31.4628,115.8642
Bureau of Meteorology,BOM,Weather,IDY,MET General,9265,HILLARYS BOAT HARBOUR NTC AWS,-31.8256,115.7386
Bureau of Meteorology,BOM,Weather,IDY,MET General,9172,JANDAKOT AERO,-32.1011,115.8794
Bureau of Meteorology,BOM,Weather,IDY,MET General,9281,MILLENDON (SWAN VALLEY),-31.8112,116.0227
Bureau of Meteorology,BOM,Weather,IDY,MET General,9053,PEARCE RAAF,-31.6669,116.0189
Bureau of Meteorology,BOM,Weather,IDY,MET General,9021,PERTH AIRPORT,-31.9275,115.9764
Bureau of Meteorology,BOM,Weather,IDY,MET General,9225,PERTH METRO,-31.9192,115.8728
Bureau of Meteorology,BOM,Weather,IDY,MET General,9193,ROTTNEST ISLAND,-32.0069,115.5022
Bureau of Meteorology,BOM,Weather,IDY,MET General,9215,SWANBOURNE,-31.956,115.7619
Bureau of Meteorology,BOM,Weather,IDY,MET General,9254,ARMAMENT JETTY,-32.1758,115.6808
Bureau of Meteorology,BOM,Weather,IDY,MET General,9255,COLPOYS POINT,-32.2272,115.6994
Bureau of Meteorology,BOM,Weather,IDY,MET General,9091,INNER DOLPHIN PYLON,-31.9889,115.8311
Bureau of Meteorology,BOM,Weather,IDY,MET General,9214,OCEAN REEF,-31.7594,115.7278
