Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,NRSROT,NRSROT-ADCP-1107,-32.0002,115.4167
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,WACA20,WACA20-1001,-31.9846,115.2282
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,WATR04,WATR04-ADCP-1311,-31.7218,115.3997
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,WATR10,WATR10-1105,-31.6443,115.1982
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,WATR15,WATR15-1105,-31.6875,115.1278
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,WATR20,WATR20-0907,-31.7286,115.0372
Integrated Marine Observing System,IMOS,AMNM Mooring,AMNMMOORING,HYDRO Sensor,WATR50,WATR50-1004,-31.7867,114.9403
