Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6160487,Canning River - Prispt,-32.02328481,115.8849578
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6161836,Canning River - Nicholson Rd Bridge,-32.0297,115.9421
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6161837,Canning River - Riverton Bridge RIV,-32.02750395,115.9011825
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6161838,Canning River - Salter Point (SAL),-32.03081308,115.8722331
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6161892,Wharf St Main Drain - Drain No22,-32.01996475,115.9277438
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6162994,Canning River Kent Street Weir - Weir U/S,-32.02146765,115.9210023
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6162995,Swan-Cannins Estuarylwrcan - Castledare Mid,-32.02251348,115.9156427
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163105,Canning River - Bacon St,-32.0226,115.9267
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163119,Canning River - Ellison Pde,-32.0339,115.949901
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163124,Canning River - Greenfield St Bridge,-32.02288791,115.9331312
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163126,Canning River - Hester Park,-32.02975586,115.9442448
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163132,Canning River - Masons Landing,-32.02604868,115.9378279
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163179,Swan-Canning Estury-Lwrcan - South Canning Bridge,-32.01677997,115.853516
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6163346,Swan-Canning Estuary - Lwrcan - Castledare,-32.02242256,115.9155591
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6164609,Canning River - Bywater Rd,-32.0275175,115.9132224
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6165318,Swan-Canning Estuarylwrcan - Scb2,-32.01721937,115.8532247
Department of Water and Environmental Regulation,DWER,Canning River Estuary Sampling,CANEST,WQ Grab,6167188,Swan-Canning Estuary - Shelley Bridge Downstream,-32.022782,115.901366
