Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Department of Transport,DOT,Coastal Data,TIDE,HYDRO Level,PTBAR02,Barrack Street 02,-31.959681,115.857261
Department of Transport,DOT,Coastal Data,TIDE,HYDRO Level,HLHIL01,Hillarys,-31.825522,115.738589
Department of Transport,DOT,Coastal Data,TIDE,HYDRO Level,RKMGL01,Mangles Bay,-32.274431,115.703344
Department of Transport,DOT,Coastal Data,TIDE,HYDRO Level,FFFBH01,Fremantle Fishing Boat Harbour,-32.065543,115.748067
