time,depth_m,value
2020-12-04 07:00:49,1.045,20.29
2020-12-04 07:02:06,1.972,20.29
2020-12-04 07:03:25,2.974,20.29
2020-12-04 07:04:45,3.973,20.29
2020-12-04 07:06:03,4.977,20.29
2020-12-04 07:07:22,5.969,20.29
2020-12-04 07:08:41,6.934,20.29
2020-12-04 07:10:00,8.003,20.28
2020-12-04 07:11:19,8.973,20.28
2020-12-04 07:12:39,9.949,20.28
2020-12-04 07:13:59,10.999,20.28
2020-12-04 07:15:18,11.927,20.28
2020-12-04 07:16:39,12.942,20.27
2020-12-04 07:18:00,13.948,20.27
2020-12-04 07:19:21,14.957,20.26
2020-12-04 07:20:43,15.97,20.26
2020-12-04 07:22:05,16.959,20.26
2020-12-04 08:00:55,1.062,20.33
2020-12-04 08:02:11,1.939,20.33
2020-12-04 08:03:29,2.959,20.33
2020-12-04 08:04:48,3.96,20.32
2020-12-04 08:06:07,4.965,20.31
2020-12-04 08:07:26,5.964,20.3
2020-12-04 08:08:46,6.966,20.3
2020-12-04 08:10:05,7.97,20.3
2020-12-04 08:11:24,8.966,20.29
2020-12-04 08:12:44,9.959,20.28
2020-12-04 08:14:04,11.002,20.28
2020-12-04 08:15:23,11.946,20.27
2020-12-04 08:16:44,12.968,20.26
2020-12-04 08:18:04,13.964,20.25
2020-12-04 08:19:25,14.947,20.24
2020-12-04 08:20:47,15.941,20.23
2020-12-04 08:22:08,16.976,20.22
2020-12-04 09:00:55,1.053,20.39
2020-12-04 09:02:12,1.97,20.37
2020-12-04 09:03:30,2.986,20.37
2020-12-04 09:04:48,3.989,20.33
2020-12-04 09:06:07,4.979,20.32
2020-12-04 09:07:25,5.971,20.31
2020-12-04 09:08:44,6.942,20.31
2020-12-04 09:10:03,7.992,20.3
2020-12-04 09:11:23,8.995,20.29
2020-12-04 09:12:42,9.961,20.29
2020-12-04 09:14:01,10.952,20.28
2020-12-04 09:15:21,11.964,20.27
2020-12-04 09:16:41,12.981,20.26
2020-12-04 09:18:01,13.93,20.25
2020-12-04 09:19:23,14.958,20.25
2020-12-04 09:20:45,15.913,20.24
2020-12-04 09:22:05,16.927,20.24
2020-12-04 10:00:49,1.073,20.46
2020-12-04 10:02:06,2.031,20.46
2020-12-04 10:03:25,2.961,20.47
2020-12-04 10:04:44,3.975,20.41
2020-12-04 10:06:04,4.981,20.34
2020-12-04 10:07:23,5.947,20.32
2020-12-04 10:08:42,6.964,20.31
2020-12-04 10:10:01,7.963,20.3
2020-12-04 10:11:20,8.971,20.29
