Model,Model Description,Model Classification,Agency / Organisation,Agency,Code,Start,End,Order,Notes,Col,,
WRF,South-western Australia Downscaled Weather Model,Meteorology,Murdoch University,MU,SWWA-WRF,1/01/1970,31/12/2020,1,Pawsey,Low,,
BARRA,BARRA Reanalysis ,Meteorology,Bureau of Meteorology,BOM,BARRA-PR,1/01/1990,31/12/2019,2,NCI,Low,,
SWAN,Cockburn Sound Breakwater Wave Model,Wave,BMT,BMT,W-BW,1/01/2011,31/12/2021,3,BMT,Low,,
WWM,Cockburn Sound Wave Model,Wave,Western Australian Marine Science Institution,WAMSI,WWMSP5.2,1/01/2011,31/12/2021,4,Pawsey,Low,,
ROMS,WA Regional Ocean Model,Hydrodynamics,Western Australian Marine Science Institution,WAMSI,WWMSP5.1,1/01/2000,31/12/2022,5,Pawsey,Low,,
TFV-AED,PSDP2 Environmental Assessment Model,Hydrodynamics,BMT,BMT,PSDP2,1/01/2005,31/12/2015,6,BMT,Low,,
TFV-AED,Swan-Canning Esturaine Response Model,Hydrodynamics; Biogeochemistry,University of Western Australia,UWA,SCERM,1/01/2007,31/12/2020,7,UWA,Low,,
TFV-AED,Cockburn Sound Integrated Ecosystem Model,Hydrodynamics; Biogeochemistry,Western Australian Marine Science Institution,WAMSI,WWMSP1.2,1/01/2010,31/12/2021,8,UWA,Low,,
