Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147030,North Cockburn Sound 4,-32.15660018,115.7027292
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147031,South Cockburn Sound 13,-32.25080006,115.7283213
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147032,Eastern Margin Seagrass,-32.19228159,115.7452496
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147033,Mangles Bay,-32.27286493,115.7026804
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147034,South 2 - Cockburn Sound 11,-32.26240154,115.714178
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147035,Cockburn Sound - Desalination Plant,-32.2001199,115.7406544
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147036,North East - Garden Island Seagrass,-32.15743127,115.6793039
Department of Water and Environmental Regulation,DWER,Cockburn Sound Moorings,CSMOORING,WQ Sensor,6147037,West Port,-32.18669751,115.7598478
