Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6141432,Cockburn Sound - Mangles Bay,-32.2745,115.7025
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142830,Cockburn Sound - Nh3,-32.14002396,115.762558
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142971,Cockburn Sound - North,-32.15236647,115.7201576
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142972,Cockburn Sound - Jervoise Bay North,-32.14647972,115.756724
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142973,Cockburn Sound - Jervoise Bay South,-32.17070253,115.7624827
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142974,Cockburn Sound - Central,-32.19756533,115.7198329
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142975,Cockburn Sound - East,-32.20985052,115.7595655
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142976,Cockburn Sound - East,-32.23893373,115.7514119
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142977,Cockburn Sound - Rockingham Beach,-32.25650025,115.7408638
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142980,Garden Island Hmas Stirling - South,-32.22951818,115.6979693
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142983,Cockburn Sound - Southern Flats,-32.24823153,115.7125308
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142984,Cockburn Sound - Challenger Beach,-32.18280269,115.7390897
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142987,Cockburn Sound - Rockingham Beach,-32.25469822,115.7401668
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142988,Garden Island Hmas Stirling - Central,-32.21529693,115.6966123
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6142989,Garden Island Hmas Stirling - North,-32.19859525,115.6848308
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6147030,North Cockburn Sound 4,-32.15660018,115.7027292
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6147031,South Cockburn Sound 13,-32.25080006,115.7283213
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6147034,South 2 - Cockburn Sound 11,-32.26240154,115.714178
Department of Water and Environmental Regulation,DWER,Cockburn Sound Marine Water Quality Monitoring,CSMWQ,WQ Grab,6147035,Cockburn Sound - Desalination Plant,-32.2001199,115.7406544
