Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160118,Caversham Avenue Jetty - Unnamed,-31.87807475,115.9922776
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160119,Swan-Canning Estuary - Uprswn - Reg Bond Park,-31.868417,115.9989833
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160121,Swan-Canning Estuary - Uprswn - Lilac Hill,-31.89131642,115.9751592
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160258,Swan-Canning Estuary - Lwrswn - Bla,-32.01712604,115.7841286
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160259,Swan-Canning Estuary - Lwrswn - Arm,-32.00706869,115.8089498
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160262,Swan-Canning - Midswn - Nar,-31.96365737,115.8487799
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160263,Swan-Canning Estuary - Midswn - NIL,-31.95484529,115.8853411
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160764,Maylands - Swimming Pool,-31.93980695,115.9081728
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6160930,Swan-Canning Estuary - Uprswn - Mulberry Farm,-31.8876538,115.9796411
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161086,Swan River - Middle Swan Bridge,-31.86440399,116.0090827
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161821,Swan River - Kingsley Rd,-31.91258215,115.9610264
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161854,Swan River Phd - West Midland Pool,-31.88785918,115.9895462
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161869,Swan-Canning Estuary - Lwrswn - Heathcote,-31.99489192,115.8353486
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161870,Swan-Canning Estuary - Midswn - Unnamed,-31.95137182,115.9134004
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161878,Ron Courtney Island - Unnamed,-31.92140375,115.9401324
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6161879,Success Hill - Unnamed,-31.89844028,115.9592501
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6162045,Swan-Canning Estuary - Kings Meadow Oval,-31.90437259,115.9632125
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6162300,Swan River - Vitox Plant,-31.90048101,115.9616911
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6163485,Bayswater CSBP Investgations - Bwr10,-31.92268434,115.9509489
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6163500,Upper Swan - Power Lines,-31.8563,115.9956
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6163833,Jane Brook - Confluence,-31.8614,116.0027
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6163857,Swan - Blackadder Creek,-31.88387635,115.9912491
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6163932,Swan River - Woodbridge Riverpark,-31.8811,115.9913
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6164323,Ron Courtney Island - Unnamed,-31.92007218,115.9416183
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6167114,Downstream Meadow Street Bridge,-31.89438735,115.9713321
Department of Water and Environmental Regulation,DWER,Swan Canning Estuary Monitoring,SWANEST,WQ Grab,6167160,Swan-Canning Estuary - Lwrswn - Waylen Buoy,-31.99888889,115.84425
