Agency,Agency ID,Program,Program Code,Data Classification,Station ID,Station Name,Lat,Lon
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS10,CS10,-32.1479422,115.6673217
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS105,CS105,-32.23461465,115.7244927
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS155,CS155,-32.24644693,115.7206654
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS155S,CS155S,-32.24462157,115.7185681
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS175,CS175,-32.18777431,115.7319989
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS180,CS180,-32.18561494,115.7681574
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS185,CS185,-32.18627956,115.7724976
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS22A,CS22A,-32.15028051,115.7154896
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS27A,CS27A,-32.14994091,115.74003
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS55,CS55,-32.18761049,115.7139896
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS60,CS60,-32.18711194,115.7469965
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS65,CS65,-32.18627724,115.7611582
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,CS70,CS70,-32.19878006,115.7694971
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,ND01A,ND01A,-32.1308783,115.7058603
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,OA55,OA55,-32.09911542,115.6419941
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,OA64,OA64,-32.11102555,115.6945986
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,OA75,OA75,-32.12960914,115.7203271
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,OA81F,OA81F,-32.13560855,115.699157
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,OA85A,OA85A,-32.14127635,115.6819965
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cmcs3,cmcs3,-32.19478178,115.6989947
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cmp0,cmp0,-32.1763251,115.7299939
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cmp1,cmp1,-32.17827767,115.7503313
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cmp2,cmp2,-32.17644812,115.7578231
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs10,cs10,-32.1479422,115.6673217
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs100,cs100,-32.23460717,115.7086583
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs105,cs105,-32.23461465,115.7244927
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs110,cs110,-32.23461424,115.7469923
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs112,cs112,-32.24094148,115.711498
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs115,cs115,-32.23961446,115.7536633
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs118,cs118,-32.26128143,115.7399909
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs119,cs119,-32.25746535,115.7363388
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs12,cs12,-32.14844061,115.6769949
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs120,cs120,-32.25460872,115.7303276
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs123,cs123,-32.26044111,115.7416586
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs125,cs125,-32.26711426,115.7261616
University of Western Australia,UWA,CWR CTD Profiling,CWRCTD,WQ Sensor,cs13,cs13,-32.14727501,115.681995
