time,depth_m,value
2020-12-04 07:00:37,1.038,8.17
2020-12-04 07:01:55,2.003,8.17
2020-12-04 07:03:12,2.956,8.17
2020-12-04 07:04:31,3.968,8.17
2020-12-04 07:05:49,4.979,8.17
2020-12-04 07:07:07,5.953,8.17
2020-12-04 07:08:25,6.984,8.17
2020-12-04 07:09:45,8.002,8.17
2020-12-04 07:11:03,8.959,8.17
2020-12-04 07:12:23,9.971,8.17
2020-12-04 07:13:43,10.988,8.17
2020-12-04 07:15:01,11.992,8.17
2020-12-04 07:16:21,12.926,8.17
2020-12-04 07:17:42,13.953,8.17
2020-12-04 07:19:02,14.955,8.17
2020-12-04 08:00:36,1.042,8.17
2020-12-04 08:01:53,1.994,8.17
2020-12-04 08:03:11,2.983,8.17
2020-12-04 08:04:29,3.961,8.17
2020-12-04 08:05:47,5.006,8.17
2020-12-04 08:07:04,5.968,8.17
2020-12-04 08:08:23,6.995,8.17
2020-12-04 08:09:41,8.005,8.17
2020-12-04 08:11:01,9.0,8.17
2020-12-04 08:12:19,9.948,8.17
2020-12-04 08:13:39,10.962,8.17
2020-12-04 08:14:59,11.99,8.16
2020-12-04 08:16:18,12.96,8.16
2020-12-04 08:17:38,13.966,8.16
2020-12-04 08:18:59,14.957,8.16
2020-12-04 09:00:37,1.046,8.17
2020-12-04 09:01:54,2.007,8.17
2020-12-04 09:03:11,2.965,8.17
2020-12-04 09:04:29,3.997,8.17
2020-12-04 09:05:47,5.001,8.17
2020-12-04 09:07:05,5.995,8.17
2020-12-04 09:08:23,6.956,8.17
2020-12-04 09:09:41,7.971,8.17
2020-12-04 09:11:01,8.981,8.17
2020-12-04 09:12:20,9.963,8.17
2020-12-04 09:13:39,10.942,8.17
2020-12-04 09:14:59,11.986,8.17
2020-12-04 09:16:18,13.039,8.17
2020-12-04 09:17:38,13.969,8.17
2020-12-04 09:18:57,14.934,8.16
2020-12-04 10:00:37,1.029,8.17
2020-12-04 10:01:55,1.991,8.17
2020-12-04 10:03:13,2.978,8.17
2020-12-04 10:04:32,3.968,8.17
2020-12-04 10:05:50,4.991,8.17
2020-12-04 10:07:08,6.016,8.17
2020-12-04 10:08:26,6.976,8.17
2020-12-04 10:09:45,7.974,8.17
2020-12-04 10:11:04,8.973,8.17
2020-12-04 10:12:23,9.924,8.17
2020-12-04 10:13:43,10.97,8.17
2020-12-04 10:15:03,11.99,8.17
2020-12-04 10:16:23,12.971,8.16
2020-12-04 10:17:42,13.934,8.18
2020-12-04 10:19:03,14.957,8.2
2020-12-04 11:00:36,1.05,8.17
2020-12-04 11:01:53,1.999,8.17
2020-12-04 11:03:11,2.967,8.17
2020-12-04 11:04:29,3.976,8.17
2020-12-04 11:05:48,4.99,8.17
