time,depth_m,value
2020-12-04 07:00:49,1.041,7.4
2020-12-04 07:02:06,1.942,7.39
2020-12-04 07:03:25,2.952,7.38
2020-12-04 07:04:44,3.969,7.38
2020-12-04 07:06:02,4.945,7.37
2020-12-04 07:07:22,5.979,7.36
2020-12-04 07:08:40,6.991,7.36
2020-12-04 07:09:58,7.988,7.35
2020-12-04 07:11:18,8.962,7.35
2020-12-04 07:12:37,10.013,7.34
2020-12-04 07:13:57,10.979,7.35
2020-12-04 07:15:16,11.993,7.34
2020-12-04 07:16:35,12.959,7.34
2020-12-04 08:00:49,1.026,7.42
2020-12-04 08:02:06,1.942,7.42
2020-12-04 08:03:25,3.007,7.42
2020-12-04 08:04:42,3.962,7.42
2020-12-04 08:06:00,5.02,7.42
2020-12-04 08:07:19,5.987,7.42
2020-12-04 08:08:37,7.017,7.41
2020-12-04 08:09:54,7.973,7.41
2020-12-04 08:11:12,8.951,7.42
2020-12-04 08:12:31,9.925,7.41
2020-12-04 08:13:50,10.975,7.4
2020-12-04 08:15:10,12.015,7.39
2020-12-04 08:16:29,13.039,7.39
2020-12-04 09:00:49,1.016,7.4
2020-12-04 09:02:07,1.976,7.4
2020-12-04 09:03:25,2.967,7.39
2020-12-04 09:04:44,4.008,7.39
2020-12-04 09:06:02,4.905,7.39
2020-12-04 09:07:21,5.938,7.39
2020-12-04 09:08:40,6.984,7.39
2020-12-04 09:09:59,8.015,7.38
2020-12-04 09:11:17,8.928,7.39
2020-12-04 09:12:36,9.985,7.41
2020-12-04 09:13:56,10.948,7.41
2020-12-04 09:15:15,11.927,7.42
2020-12-04 09:16:35,12.971,7.42
2020-12-04 10:00:50,1.035,7.42
2020-12-04 10:02:08,1.964,7.41
2020-12-04 10:03:27,3.098,7.41
2020-12-04 10:04:44,3.937,7.4
2020-12-04 10:06:04,5.023,7.41
2020-12-04 10:07:22,5.956,7.4
2020-12-04 10:08:42,6.991,7.41
2020-12-04 10:10:00,7.976,7.41
2020-12-04 10:11:19,8.954,7.4
2020-12-04 10:12:40,9.999,7.43
2020-12-04 10:13:59,10.962,7.43
2020-12-04 10:15:19,12.102,7.44
2020-12-04 10:16:38,12.924,7.45
2020-12-04 11:00:49,1.003,7.37
2020-12-04 11:02:07,1.982,7.37
2020-12-04 11:03:26,2.97,7.36
2020-12-04 11:04:45,3.978,7.36
2020-12-04 11:06:03,4.991,7.35
2020-12-04 11:07:22,5.994,7.35
2020-12-04 11:08:41,6.882,7.35
2020-12-04 11:10:00,8.053,7.37
2020-12-04 11:11:20,8.976,7.37
2020-12-04 11:12:39,9.83,7.39
2020-12-04 11:13:59,11.005,7.41
2020-12-04 11:15:21,11.929,7.42
2020-12-04 11:16:41,12.982,7.43
2020-12-04 12:00:50,1.029,7.4
2020-12-04 12:02:07,1.995,7.39
2020-12-04 12:03:24,2.87,7.38
2020-12-04 12:04:43,4.075,7.38
2020-12-04 12:06:01,4.961,7.37
2020-12-04 12:07:20,5.946,7.36
2020-12-04 12:08:39,6.952,7.36
2020-12-04 12:09:58,7.979,7.37
2020-12-04 12:11:17,9.093,7.38
2020-12-04 12:12:35,9.924,7.4
2020-12-04 12:13:55,11.047,7.43
2020-12-04 12:15:15,12.044,7.44
2020-12-04 12:16:34,13.068,7.44
2020-12-04 13:00:55,1.02,7.41
2020-12-04 13:02:12,1.872,7.4
2020-12-04 13:03:30,3.011,7.4
2020-12-04 13:04:48,3.844,7.39
2020-12-04 13:06:06,4.947,7.39
2020-12-04 13:07:25,5.716,7.39
2020-12-04 13:08:44,6.995,7.41
2020-12-04 13:10:03,7.875,7.4
2020-12-04 13:11:22,9.012,7.41
2020-12-04 13:12:41,9.914,7.43
2020-12-04 13:14:01,11.127,7.43
2020-12-04 13:15:21,11.956,7.43
2020-12-04 13:16:39,12.869,7.43
2020-12-04 14:00:49,1.024,7.45
2020-12-04 14:02:07,2.021,7.44
2020-12-04 14:03:25,2.9,7.44
2020-12-04 14:04:43,3.888,7.44
2020-12-04 14:06:03,4.941,7.44
2020-12-04 14:07:21,5.958,7.43
2020-12-04 14:08:40,6.861,7.43
2020-12-04 14:09:58,8.034,7.45
2020-12-04 14:11:16,8.878,7.46
2020-12-04 14:12:36,9.83,7.48
2020-12-04 14:13:58,11.096,7.49
2020-12-04 14:15:17,11.948,7.42
2020-12-04 14:16:37,12.956,7.49
2020-12-04 14:17:57,14.005,7.5
2020-12-04 15:00:49,1.118,7.51
2020-12-04 15:02:07,2.017,7.49
2020-12-04 15:03:26,3.019,7.5
2020-12-04 15:04:44,4.037,7.48
2020-12-04 15:06:03,5.029,7.49
2020-12-04 15:07:23,5.88,7.48
2020-12-04 15:08:40,7.009,7.48
2020-12-04 15:10:00,7.901,7.47
2020-12-04 15:11:20,8.926,7.48
2020-12-04 15:12:40,10.008,7.47
2020-12-04 15:13:59,10.887,7.48
2020-12-04 15:15:19,12.002,7.47
2020-12-04 15:16:37,12.797,7.46
2020-12-04 15:17:56,13.739,7.46
2020-12-04 16:00:49,1.06,7.53
2020-12-04 16:02:05,1.985,7.52
2020-12-04 16:03:24,2.903,7.52
2020-12-04 16:04:43,3.726,7.51
2020-12-04 16:06:02,4.947,7.51
2020-12-04 16:07:19,5.818,7.51
2020-12-04 16:08:38,6.929,7.5
2020-12-04 16:09:57,8.0,7.5
2020-12-04 16:11:17,9.109,7.49
2020-12-04 16:12:35,10.037,7.48
2020-12-04 16:13:54,10.848,7.47
2020-12-04 16:15:14,11.978,7.47
2020-12-04 16:16:34,13.104,7.46
2020-12-04 16:17:52,14.007,7.47
2020-12-04 17:00:49,1.108,7.57
2020-12-04 17:02:06,2.041,7.56
2020-12-04 17:03:25,2.968,7.56
2020-12-04 17:04:42,3.915,7.55
2020-12-04 17:06:03,4.893,7.54
2020-12-04 17:07:22,5.96,7.54
2020-12-04 17:08:40,7.076,7.53
2020-12-04 17:09:59,7.923,7.53
2020-12-04 17:11:19,8.963,7.53
2020-12-04 17:12:38,9.989,7.52
2020-12-04 17:13:58,10.88,7.51
2020-12-04 17:15:18,11.96,7.5
2020-12-04 17:16:37,12.817,7.49
2020-12-04 17:17:57,14.015,7.48
2020-12-04 18:00:55,0.972,7.56
2020-12-04 18:02:12,1.967,7.56
2020-12-04 18:03:29,3.054,7.54
2020-12-04 18:04:46,3.939,7.54
2020-12-04 18:06:06,4.99,7.53
2020-12-04 18:07:24,5.93,7.53
2020-12-04 18:08:43,7.188,7.52
2020-12-04 18:10:03,8.079,7.51
2020-12-04 18:11:20,8.861,7.5
2020-12-04 18:12:41,9.998,7.5
2020-12-04 18:14:01,11.085,7.49
2020-12-04 18:15:21,11.912,7.48
2020-12-04 18:16:40,12.997,7.47
2020-12-04 18:17:59,14.092,7.46
